ETF类型,合约月份,行权价,贴水价值,年化贴水率,剩余天数,记录日期
科创板50ETF,2603,1.55,-0.0441,-0.0549,209,2025-08-28
科创50ETF,2509,1.4,-0.0106,-0.1,27,2025-08-28
科创50ETF,2512,1.4,-0.0225,-0.0486,118,2025-08-28
科创50ETF,2512,1.45,-0.023,-0.0496,118,2025-08-28
科创50ETF,2512,1.55,-0.0247,-0.0533,118,2025-08-28
科创50ETF,2512,1.5,-0.024,-0.0518,118,2025-08-28
科创50ETF,2603,0.85,-0.0395,-0.0481,209,2025-08-28
科创50ETF,2603,0.95,-0.0389,-0.0474,209,2025-08-28
科创50ETF,2603,0.9,-0.039,-0.0475,209,2025-08-28
科创50ETF,2603,1.0,-0.0379,-0.0462,209,2025-08-28
科创50ETF,2603,1.1,-0.0379,-0.0462,209,2025-08-28
科创50ETF,2603,1.05,-0.0495,-0.0603,209,2025-08-28
科创50ETF,2603,1.15,-0.0364,-0.0444,209,2025-08-28
科创50ETF,2603,1.25,-0.0366,-0.0446,209,2025-08-28
科创50ETF,2603,1.2,-0.0471,-0.0574,209,2025-08-28
科创50ETF,2603,1.3,-0.035,-0.0427,209,2025-08-28
科创50ETF,2603,1.35,-0.03,-0.0366,209,2025-08-28
科创50ETF,2512,0.9,-0.0278,-0.06,118,2025-08-28
科创50ETF,2509,1.45,-0.0055,-0.0519,27,2025-08-28
科创50ETF,2603,1.45,-0.0277,-0.0338,209,2025-08-28
科创50ETF,2512,0.95,-0.028,-0.0604,118,2025-08-28
科创50ETF,2509,1.25,-0.0065,-0.0613,27,2025-08-28
科创50ETF,2509,1.3,-0.0044,-0.0415,27,2025-08-28
科创50ETF,2509,1.35,-0.0083,-0.0783,27,2025-08-28
科创50ETF,2509,1.55,-0.0052,-0.0491,27,2025-08-28
科创50ETF,2512,0.85,-0.0276,-0.0596,118,2025-08-28
科创50ETF,2512,1.1,-0.0285,-0.0615,118,2025-08-28
科创50ETF,2512,1.0,-0.0276,-0.0596,118,2025-08-28
科创50ETF,2512,1.2,-0.0254,-0.0548,118,2025-08-28
科创50ETF,2512,1.05,-0.0272,-0.0587,118,2025-08-28
科创50ETF,2512,1.25,-0.0299,-0.0645,118,2025-08-28
科创50ETF,2509,1.5,0.003,0.0283,27,2025-08-28
科创50ETF,2512,0.8,-0.0291,-0.0628,118,2025-08-28
科创50ETF,2512,1.3,-0.0358,-0.0773,118,2025-08-28
科创50ETF,2512,1.35,-0.0293,-0.0632,118,2025-08-28
科创50ETF,2512,1.15,-0.0271,-0.0585,118,2025-08-28
科创50ETF,2603,1.4,-0.0388,-0.0473,209,2025-08-28
科创50ETF,2603,1.5,-0.0295,-0.036,209,2025-08-28
300ETF,2509,4.8,0.0077,0.0228,27,2025-08-28
300ETF,2509,4.107,-0.0005,-0.0015,27,2025-08-28
300ETF,2509,4.303,0.0056,0.0166,27,2025-08-28
300ETF,2510,4.1,-0.0014,-0.002,55,2025-08-28
300ETF,2510,4.2,-0.0012,-0.0017,55,2025-08-28
300ETF,2510,4.3,0.0,0.0,55,2025-08-28
